"","st_abrev","Donations","Donors"
"1","AB",12,3
"2","AK",26373,614
"3","AL",35668,585
"4","AR",29023,485
"5","AS",16,2
"6","AZ",118246,3820
"7","BC",118,17
"8","BW",8,1
"9","CA",4784366,53711
"10","CO",243338,5285
"11","CT",417084,3737
"12","DC",655220,2357
"13","DE",51201,542
"14","FL",692766,8379
"15","GA",205799,2678
"16","GU",106,6
"17","HI",38852,1150
"18","IA",38094,1081
"19","ID",30295,767
"20","IL",613151,6996
"21","IN",69622,1521
"22","KS",34923,1069
"23","KY",101056,1151
"24","LA",66271,826
"25","MA",14217068,62642
"26","MB",1,1
"27","MD",497654,4936
"28","ME",83969,1800
"29","MI",257899,4815
"30","MN",135938,3086
"31","MO",104890,1985
"32","MS",11385,249
"33","MT",32546,714
"34","NC",163340,3738
"35","ND",2891,89
"36","NE",24630,598
"37","NH",261937,1911
"38","NJ",416438,4945
"39","NM",78289,2353
"40","NS",12,2
"41","NULL",5811,15
"42","NV",86528,1202
"43","NY",3041323,20166
"44","OH",197989,3691
"45","OK",88611,1044
"46","ON",299,21
"47","OR",235425,7592
"48","PA",444532,6484
"49","PG",3,1
"50","PR",10567,30
"51","QC",212,18
"52","RI",101024,929
"53","SC",51881,992
"54","SD",9444,232
"55","TN",166057,1786
"56","TX",766656,7187
"57","UT",64507,1052
"58","VA",420040,4331
"59","VI",6081,35
"60","VT",67602,1309
"61","WA",504612,10538
"62","WI",171190,3058
"63","WV",12912,633
"64","WY",18540,315
"65","ZZ",29151,480
"66",NA,11796,27
