"Year Month","State","Countym","Industry","Suspicious Activity","Product","Instrument","Count"
"2018 ","California","Alameda County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","6"
"2018 ","California","Alameda County, CA","Depository Institution","Check","Credit Card","U.S. Currency","10"
"2018 ","California","Alameda County, CA","Depository Institution","Consumer Loan (see instructions)","Credit Card","U.S. Currency","2"
"2018 ","California","Alameda County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","27"
"2018 ","California","Alameda County, CA","Depository Institution","Mail","Credit Card","U.S. Currency","2"
"2018 ","California","Alameda County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","6"
"2018 ","California","Alameda County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","11"
"2018 ","California","Alameda County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","64"
"2018 ","California","Alameda County, CA","Money Services Business (MSB)","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2018 ","California","Alameda County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","27"
"2018 ","California","Alameda County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","9"
"2018 ","California","Alameda County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","37"
"2018 ","California","Alameda County, CA","Securities/Futures","ACH","Credit Card","U.S. Currency","1"
"2018 ","California","Alameda County, CA","Securities/Futures","Mass-Marketing","Credit Card","U.S. Currency","1"
"2018 ","California","Alameda County, CA","Securities/Futures","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Alameda County, CA","[Total]","[Total]","Credit Card","U.S. Currency","103"
"2018 ","California","Amador County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Amador County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Amador County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Amador County, CA","[Total]","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Butte County, CA","Depository Institution","Check","Credit Card","U.S. Currency","2"
"2018 ","California","Butte County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","4"
"2018 ","California","Butte County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","2"
"2018 ","California","Butte County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","3"
"2018 ","California","Butte County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Butte County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","12"
"2018 ","California","Butte County, CA","Money Services Business (MSB)","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2018 ","California","Butte County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","5"
"2018 ","California","Butte County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","4"
"2018 ","California","Butte County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","10"
"2018 ","California","Butte County, CA","[Total]","[Total]","Credit Card","U.S. Currency","22"
"2018 ","California","Calaveras County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Calaveras County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","1"
"2018 ","California","Calaveras County, CA","[Total]","[Total]","Credit Card","U.S. Currency","1"
"2018 ","California","Contra Costa County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","3"
"2018 ","California","Contra Costa County, CA","Depository Institution","Check","Credit Card","U.S. Currency","11"
"2018 ","California","Contra Costa County, CA","Depository Institution","Consumer Loan (see instructions)","Credit Card","U.S. Currency","1"
"2018 ","California","Contra Costa County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","25"
"2018 ","California","Contra Costa County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","6"
"2018 ","California","Contra Costa County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","8"
"2018 ","California","Contra Costa County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Contra Costa County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","55"
"2018 ","California","Contra Costa County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","20"
"2018 ","California","Contra Costa County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","10"
"2018 ","California","Contra Costa County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","30"
"2018 ","California","Contra Costa County, CA","Securities/Futures","ACH","Credit Card","U.S. Currency","1"
"2018 ","California","Contra Costa County, CA","Securities/Futures","Mass-Marketing","Credit Card","U.S. Currency","1"
"2018 ","California","Contra Costa County, CA","Securities/Futures","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Contra Costa County, CA","[Total]","[Total]","Credit Card","U.S. Currency","87"
"2018 ","California","Del Norte County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","2"
"2018 ","California","Del Norte County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","2"
"2018 ","California","Del Norte County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","4"
"2018 ","California","Del Norte County, CA","[Total]","[Total]","Credit Card","U.S. Currency","4"
"2018 ","California","El Dorado County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","1"
"2018 ","California","El Dorado County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2018 ","California","El Dorado County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","3"
"2018 ","California","El Dorado County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","5"
"2018 ","California","El Dorado County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","3"
"2018 ","California","El Dorado County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","2"
"2018 ","California","El Dorado County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","5"
"2018 ","California","El Dorado County, CA","[Total]","[Total]","Credit Card","U.S. Currency","10"
"2018 ","California","Fresno County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","3"
"2018 ","California","Fresno County, CA","Depository Institution","Check","Credit Card","U.S. Currency","4"
"2018 ","California","Fresno County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","8"
"2018 ","California","Fresno County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","1"
"2018 ","California","Fresno County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","5"
"2018 ","California","Fresno County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Fresno County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","22"
"2018 ","California","Fresno County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","12"
"2018 ","California","Fresno County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","2"
"2018 ","California","Fresno County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","14"
"2018 ","California","Fresno County, CA","[Total]","[Total]","Credit Card","U.S. Currency","36"
"2018 ","California","Humboldt County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","2"
"2018 ","California","Humboldt County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Humboldt County, CA","[Total]","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Imperial County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","1"
"2018 ","California","Imperial County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","2"
"2018 ","California","Imperial County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Imperial County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","4"
"2018 ","California","Imperial County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Imperial County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","1"
"2018 ","California","Imperial County, CA","[Total]","[Total]","Credit Card","U.S. Currency","5"
"2018 ","California","Kern County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2018 ","California","Kern County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","12"
"2018 ","California","Kern County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","3"
"2018 ","California","Kern County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","4"
"2018 ","California","Kern County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Kern County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","21"
"2018 ","California","Kern County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","10"
"2018 ","California","Kern County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","5"
"2018 ","California","Kern County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","15"
"2018 ","California","Kern County, CA","[Total]","[Total]","Credit Card","U.S. Currency","36"
"2018 ","California","Kings County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2018 ","California","Kings County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2018 ","California","Kings County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Kings County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","3"
"2018 ","California","Kings County, CA","[Total]","[Total]","Credit Card","U.S. Currency","3"
"2018 ","California","Lassen County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2018 ","California","Lassen County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2018 ","California","Lassen County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","1"
"2018 ","California","Lassen County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","3"
"2018 ","California","Lassen County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Lassen County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","1"
"2018 ","California","Lassen County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","2"
"2018 ","California","Lassen County, CA","[Total]","[Total]","Credit Card","U.S. Currency","5"
"2018 ","California","Los Angeles County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","97"
"2018 ","California","Los Angeles County, CA","Depository Institution","Check","Credit Card","U.S. Currency","208"
"2018 ","California","Los Angeles County, CA","Depository Institution","Consumer Loan (see instructions)","Credit Card","U.S. Currency","6"
"2018 ","California","Los Angeles County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","476"
"2018 ","California","Los Angeles County, CA","Depository Institution","Healthcare/Public or Private Health Insurance","Credit Card","U.S. Currency","2"
"2018 ","California","Los Angeles County, CA","Depository Institution","Mail","Credit Card","U.S. Currency","6"
"2018 ","California","Los Angeles County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","37"
"2018 ","California","Los Angeles County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","154"
"2018 ","California","Los Angeles County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","19"
"2018 ","California","Los Angeles County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","1,005"
"2018 ","California","Los Angeles County, CA","Money Services Business (MSB)","ACH","Credit Card","U.S. Currency","22"
"2018 ","California","Los Angeles County, CA","Money Services Business (MSB)","Credit/Debit Card","Credit Card","U.S. Currency","13"
"2018 ","California","Los Angeles County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","63"
"2018 ","California","Los Angeles County, CA","Money Services Business (MSB)","Wire","Credit Card","U.S. Currency","18"
"2018 ","California","Los Angeles County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","116"
"2018 ","California","Los Angeles County, CA","[Total]","[Total]","Credit Card","U.S. Currency","1,121"
"2018 ","California","Madera County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2018 ","California","Madera County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2018 ","California","Madera County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","1"
"2018 ","California","Madera County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","3"
"2018 ","California","Madera County, CA","Money Services Business (MSB)","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2018 ","California","Madera County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","1"
"2018 ","California","Madera County, CA","[Total]","[Total]","Credit Card","U.S. Currency","4"
