"Year Month","State","Countym","Industry","Suspicious Activity","Product","Instrument","Count"
"2016 January","California","Alameda County, CA","Depository Institution","Account Takeover","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Check","Credit Card","U.S. Currency","2"
"2016 January","California","Alameda County, CA","Depository Institution","Consumer Loan (see instructions)","Credit Card","U.S. Currency","2"
"2016 January","California","Alameda County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","6"
"2016 January","California","Alameda County, CA","Depository Institution","Forgeries","Credit Card","U.S. Currency","3"
"2016 January","California","Alameda County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","2"
"2016 January","California","Alameda County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","4"
"2016 January","California","Alameda County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","5"
"2016 January","California","Alameda County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Suspicious EFT/Wire Transfers","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","2"
"2016 January","California","Alameda County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Alameda County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","15"
"2016 January","California","Alameda County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","2"
"2016 January","California","Alameda County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","52"
"2016 January","California","Alameda County, CA","[Total]","[Total]","Credit Card","U.S. Currency","52"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","Minimal Gaming with Large Transactions","Credit Card","U.S. Currency","2"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","2"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","2"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Butte County, CA","Casino/Card Club - Tribal Authorized Casino","[Total]","Credit Card","U.S. Currency","8"
"2016 January","California","Butte County, CA","Money Services Business (MSB)","Suspicious EFT/Wire Transfers","Credit Card","U.S. Currency","1"
"2016 January","California","Butte County, CA","Money Services Business (MSB)","Transaction(s) Below BSA Recordkeeping Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Butte County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","2"
"2016 January","California","Butte County, CA","[Total]","[Total]","Credit Card","U.S. Currency","10"
"2016 January","California","Contra Costa County, CA","Depository Institution","Account Takeover","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Consumer Loan (see instructions)","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","4"
"2016 January","California","Contra Costa County, CA","Depository Institution","Forgeries","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","2"
"2016 January","California","Contra Costa County, CA","Depository Institution","Other Structuring","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","2"
"2016 January","California","Contra Costa County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","2"
"2016 January","California","Contra Costa County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","2"
"2016 January","California","Contra Costa County, CA","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Transaction Out of Pattern for Customer(s)","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","3"
"2016 January","California","Contra Costa County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","2"
"2016 January","California","Contra Costa County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","29"
"2016 January","California","Contra Costa County, CA","Money Services Business (MSB)","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","1"
"2016 January","California","Contra Costa County, CA","[Total]","[Total]","Credit Card","U.S. Currency","30"
"2016 January","California","Fresno County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","2"
"2016 January","California","Fresno County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","9"
"2016 January","California","Fresno County, CA","Money Services Business (MSB)","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
